City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Carutapera,BR,-1.195,-46.02,77.34,85,82,5.46,moderate rain
251,Vila,PT,42.0304,-8.1588,38.32,75,0,4.7,clear sky
252,Skjervoy,NO,70.0311,20.9714,29.32,68,100,4.52,light snow
253,Odweyne,SO,9.4092,45.064,59.4,38,71,6.69,broken clouds
254,Georgetown,MY,5.4112,100.3354,78.73,93,20,1.99,few clouds
255,Lujan,AR,-34.5703,-59.105,71.35,57,100,5.01,overcast clouds
256,Pangody,RU,65.85,74.4859,-1.39,98,98,10.0,overcast clouds
257,Padang,ID,-0.9492,100.3543,73.45,80,100,2.91,overcast clouds
258,Yangambi,CD,0.8102,24.4336,71.06,75,69,1.28,broken clouds
259,Burnie,AU,-41.0667,145.9167,66.94,96,100,12.24,light rain
260,Nikel,RU,69.4128,30.222,15.98,98,96,7.14,overcast clouds
261,Soyo,AO,-6.1349,12.3689,77.76,85,91,5.5,overcast clouds
262,Heishan,CN,41.6892,122.1128,13.05,54,0,5.55,clear sky
263,Birin,NP,26.8865,88.0718,38.41,73,4,4.68,clear sky
264,Lata,PT,40.1629,-8.3327,50.41,80,30,4.68,scattered clouds
265,Pacific Grove,US,36.6177,-121.9166,68.07,74,0,1.01,clear sky
266,Khatanga,RU,71.9667,102.5,0.39,87,100,13.02,overcast clouds
267,Tyret Pervaya,RU,53.6703,102.3106,-18.63,100,84,3.09,broken clouds
268,Kyzyl-Suu,KG,42.3414,78.0056,11.91,50,19,11.41,few clouds
269,Mackay,AU,-21.15,149.2,77.68,94,75,13.8,moderate rain
270,Natal,BR,-5.795,-35.2094,79.45,83,20,6.91,few clouds
271,Port Blair,IN,11.6667,92.75,75.24,88,20,1.14,mist
272,Alyangula,AU,-13.8483,136.4192,87.67,70,100,12.66,overcast clouds
273,Victoria,HK,22.2855,114.1577,68.32,89,93,10.0,overcast clouds
274,Cap Malheureux,MU,-19.9842,57.6142,68.49,66,16,9.78,few clouds
275,Gladstone,AU,-23.85,151.25,75.13,88,100,11.5,light rain
276,Banjarmasin,ID,-3.3244,114.591,80.74,87,100,5.26,overcast clouds
277,Byron Bay,AU,-28.65,153.6167,80.06,60,14,9.1,few clouds
278,Tilisca,RO,45.8,23.85,22.8,93,100,2.3,overcast clouds
279,Namibe,AO,-15.1961,12.1522,76.78,80,100,3.53,overcast clouds
280,Loanda,AO,-8.8368,13.2343,77.0,83,75,6.91,broken clouds
281,Jizan,SA,17.3333,42.6667,76.14,73,1,2.13,clear sky
282,Komsomolets,KZ,53.7453,62.0708,11.46,93,100,10.92,overcast clouds
283,Mindelo,CV,16.8901,-24.9804,71.15,73,75,26.46,broken clouds
284,Dabakala,CI,8.3667,-4.4333,75.58,16,22,2.26,few clouds
285,Batagay,RU,67.6333,134.6333,-17.52,98,100,4.25,overcast clouds
286,Narsaq,GL,60.9167,-46.05,19.62,78,86,14.5,overcast clouds
287,Rawlins,US,41.7911,-107.2387,26.82,46,0,16.51,clear sky
288,Buba,GW,11.5833,-15.0,69.13,66,60,0.18,broken clouds
289,Waingapu,ID,-9.6567,120.2641,82.0,76,100,12.68,overcast clouds
290,Tongren,CN,27.7172,109.1853,36.95,93,100,4.45,overcast clouds
291,Batemans Bay,AU,-35.7167,150.1833,81.19,50,9,9.53,clear sky
292,Bilibino,RU,68.0546,166.4372,-33.11,96,26,3.83,scattered clouds
293,Irbeyskoye,RU,55.6428,95.4522,11.98,97,100,1.7,light snow
294,Olinda,BR,-8.0089,-34.8553,82.13,78,75,9.22,broken clouds
295,Veseloyarsk,RU,51.2836,81.1056,4.87,97,100,5.88,overcast clouds
296,Namatanai,PG,-3.6667,152.4333,84.99,69,90,3.65,overcast clouds
297,Richards Bay,ZA,-28.783,32.0377,73.15,96,83,5.77,broken clouds
298,Kutum,SD,14.2,24.6667,53.33,27,85,15.5,overcast clouds
299,Harper,LR,4.375,-7.7169,79.21,83,8,7.56,clear sky
300,Srandakan,ID,-7.9386,110.2506,79.3,84,100,4.36,overcast clouds
301,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,77,63,10.47,broken clouds
302,Talnakh,RU,69.4865,88.3972,2.21,96,100,15.5,light snow
303,Korla,CN,41.7597,86.1469,21.16,70,1,1.95,clear sky
304,Inta,RU,66.0317,60.1659,6.6,95,79,6.69,broken clouds
305,Puerto Madryn,AR,-42.7692,-65.0385,62.24,62,2,14.99,clear sky
306,Pevek,RU,69.7008,170.3133,-32.75,98,55,3.42,broken clouds
307,Longyearbyen,SJ,78.2186,15.6401,10.24,61,75,14.97,broken clouds
308,Methoni,GR,36.8197,21.7049,40.21,49,1,5.14,clear sky
309,Casa Nova,BR,-9.4167,-41.1333,73.38,75,99,19.82,light rain
310,Toyooka,JP,35.5333,134.8333,37.51,100,75,2.3,fog
311,Dingle,PH,10.9995,122.6711,79.36,87,68,7.99,broken clouds
312,Hervey Bay,AU,-25.2986,152.8535,79.02,72,100,8.99,overcast clouds
313,Muli,MV,2.9167,73.5667,80.58,66,95,14.45,overcast clouds
314,Calama,CL,-22.4667,-68.9333,70.29,21,6,26.46,clear sky
315,Gigmoto,PH,13.7796,124.39,79.9,87,100,7.81,overcast clouds
316,Codajas,BR,-3.8367,-62.0569,73.56,98,90,1.68,overcast clouds
317,Norman Wells,CA,65.282,-126.8329,6.84,85,75,3.44,broken clouds
318,Leningradskiy,RU,69.3833,178.4167,-25.83,90,27,3.65,scattered clouds
319,Faya,SA,18.3851,42.4509,53.71,68,13,6.26,few clouds
320,Sambava,MG,-14.2667,50.1667,74.21,85,63,10.2,broken clouds
321,Marsh Harbour,BS,26.5412,-77.0636,74.97,74,11,10.85,moderate rain
322,Tessalit,ML,20.1986,1.0114,61.97,21,97,14.52,overcast clouds
323,Tonantins,BR,-2.8731,-67.8022,74.21,97,99,2.17,overcast clouds
324,Nova Odesa,UA,47.3078,31.7851,25.79,88,100,6.8,overcast clouds
325,La Suiza,CR,9.8524,-83.6133,80.1,98,96,0.94,overcast clouds
326,Kahului,US,20.8947,-156.47,81.97,78,10,13.0,clear sky
327,La Libertad,EC,-2.2333,-80.9,80.26,78,40,6.91,moderate rain
328,Quelimane,MZ,-17.8786,36.8883,74.34,86,99,7.25,overcast clouds
329,Kyabram,AU,-36.3167,145.05,81.0,52,98,14.2,overcast clouds
330,Tabas,IR,33.5959,56.9244,48.58,34,15,4.83,few clouds
331,Boyolangu,ID,-8.1181,111.8935,77.63,86,97,2.21,overcast clouds
332,Ambilobe,MG,-13.2,49.05,72.46,95,91,3.53,overcast clouds
333,Labuhan,ID,-6.8844,112.2051,79.14,85,100,8.34,overcast clouds
334,Nara,JP,34.6851,135.8049,45.68,59,61,3.42,broken clouds
335,Ilulissat,GL,69.2167,-51.1,9.72,91,100,7.83,overcast clouds
336,Prado,BR,-17.3411,-39.2208,76.1,90,68,6.4,broken clouds
337,Srednekolymsk,RU,67.45,153.6833,-43.76,100,54,3.42,broken clouds
338,Alofi,NU,-19.0595,-169.9187,78.69,89,40,10.36,light intensity shower rain
339,Iqaluit,CA,63.7506,-68.5145,-20.47,69,20,5.75,few clouds
340,Kathu,TH,7.9178,98.3332,75.02,80,45,10.98,scattered clouds
341,Grong,NO,64.4654,12.3149,34.54,99,100,4.56,light snow
342,Coos Bay,US,43.3665,-124.2179,54.0,88,0,6.91,clear sky
343,Poum,NC,-20.2333,164.0167,81.1,74,27,8.81,scattered clouds
344,Loandjili,CG,-4.7561,11.8578,75.31,94,20,1.14,few clouds
